,Unnamed: 0,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,publication_year,taxon_names_with_authors,taxon_names_with_paranthet_authors,taxon_names_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author
65095,1412481,77204084-1,Pseudopodospermum crocifolium,"Pseudopodospermum crocifolium (Sm.) Zaika, Sukhor. & N.Kilian",Asteraceae,Species,3072796,243194-1,Species,Illegitimate,Asteraceae,,Scorzonera,,graminifolia,,,,Bory & Chaub.,,Nouv. Fl. P̩lop.,: 53,(1838),Scorzonera graminifolia,Bory & Chaub.,3246146,,,,,243194-1,,N,Pseudopodospermum crocifolium,"Pseudopodospermum crocifolium (Sm.) Zaika, Sukhor. & N.Kilian",77204084-1,3246146,1838,Scorzonera graminifolia Bory & Chaub.,Scorzonera graminifolia Bory & Chaub.,Scorzonera graminifolia Bory & Chaub.,S.,S. graminifolia,S. graminifolia Bory & Chaub.,S. graminifolia Bory & Chaub.,S. graminifolia Bory & Chaub.
65096,597858,77204033-1,Takhtajaniantha austriaca,"Takhtajaniantha austriaca (Willd.) Zaika, Sukhor. & N.Kilian",Asteraceae,Species,3072742,243188-1,Species,Invalid,Asteraceae,,Scorzonera,,graminifolia,,,,Schur,,Enum. Pl. Transsilv.,: 362,(1866),Scorzonera graminifolia,Schur,3246887,,,,,243188-1,,N,Takhtajaniantha austriaca,"Takhtajaniantha austriaca (Willd.) Zaika, Sukhor. & N.Kilian",77204033-1,3246887,1866,Scorzonera graminifolia Schur,Scorzonera graminifolia Schur,Scorzonera graminifolia Schur,S.,S. graminifolia,S. graminifolia Schur,S. graminifolia Schur,S. graminifolia Schur
65097,1231147,77180779-1,Gelasia villosa subsp. villosa,Gelasia villosa subsp. villosa,Asteraceae,Subspecies,3073160,243187-1,Species,Invalid,Asteraceae,,Scorzonera,,graminifolia,,,,Port. ex Vis.,,Fl. Dalmat., 2: 107,(1847),Scorzonera graminifolia,Port. ex Vis.,3073164,,,,,243187-1,,N,Gelasia villosa,Gelasia villosa (Scop.) Cass.,208806-1,3073157,1847,Scorzonera graminifolia Port. ex Vis.,Scorzonera graminifolia Port. ex Vis.,Scorzonera graminifolia Port. ex Vis.,S.,S. graminifolia,S. graminifolia Port. ex Vis.,S. graminifolia Port. ex Vis.,S. graminifolia Port. ex Vis.
65098,1231166,243328-1,Scorzonera parviflora,Scorzonera parviflora Jacq.,Asteraceae,Species,3075500,243196-1,Species,Invalid,Asteraceae,,Scorzonera,,graminifolia,,,,Tausch ex Nyman,,Consp. Fl. Eur.,: 464,(1879),Scorzonera graminifolia,Tausch ex Nyman,3075502,,,,,243196-1,,N,Scorzonera parviflora,Scorzonera parviflora Jacq.,243328-1,3075502,1879,Scorzonera graminifolia Tausch ex Nyman,Scorzonera graminifolia Tausch ex Nyman,Scorzonera graminifolia Tausch ex Nyman,S.,S. graminifolia,S. graminifolia Tausch ex Nyman,S. graminifolia Tausch ex Nyman,S. graminifolia Tausch ex Nyman
65099,1296535,77204086-1,Pseudopodospermum elatum,"Pseudopodospermum elatum (Boiss.) Zaika, Sukhor. & N.Kilian",Asteraceae,Species,3072820,243190-1,Species,Illegitimate,Asteraceae,,Scorzonera,,graminifolia,,,,Sm.,J.Sibthorp & J.E.Smith,Fl. Graec., 8: 62,(1835),Scorzonera graminifolia,Sm.,3246148,,,,,243190-1,,N,Pseudopodospermum elatum,"Pseudopodospermum elatum (Boiss.) Zaika, Sukhor. & N.Kilian",77204086-1,3246148,1835,Scorzonera graminifolia Sm.,Scorzonera graminifolia Sm.,Scorzonera graminifolia Sm.,S.,S. graminifolia,S. graminifolia Sm.,S. graminifolia Sm.,S. graminifolia Sm.
65100,1155303,255960-1,Tragopogon buphthalmoides,Tragopogon buphthalmoides (DC.) Boiss.,Asteraceae,Species,3072941,243191-1,Species,Invalid,Asteraceae,,Scorzonera,,graminifolia,,,,Aucher ex DC.,,Prodr., 7: 121,(1838),Scorzonera graminifolia,Aucher ex DC.,3072947,,,,,243191-1,,N,Tragopogon buphthalmoides,Tragopogon buphthalmoides (DC.) Boiss.,255960-1,3072947,1838,Scorzonera graminifolia Aucher ex DC.,Scorzonera graminifolia Aucher ex DC.,Scorzonera graminifolia Aucher ex DC.,S.,S. graminifolia,S. graminifolia Aucher ex DC.,S. graminifolia Aucher ex DC.,S. graminifolia Aucher ex DC.
65101,1380894,77180805-1,Pseudopodospermum hispanicum subsp. hispanicum,Pseudopodospermum hispanicum subsp. hispanicum,Asteraceae,Subspecies,3072854,243195-1,Species,Illegitimate,Asteraceae,,Scorzonera,,graminifolia,,,,Hoffm.,,Deutschl. Fl. Bot. Taschenb., 1: 272,(1791),Scorzonera graminifolia,Hoffm.,3072857,,,,,243195-1,,N,Pseudopodospermum hispanicum,"Pseudopodospermum hispanicum (L.) Zaika, Sukhor. & N.Kilian",77204090-1,3246152,1791,Scorzonera graminifolia Hoffm.,Scorzonera graminifolia Hoffm.,Scorzonera graminifolia Hoffm.,S.,S. graminifolia,S. graminifolia Hoffm.,S. graminifolia Hoffm.,S. graminifolia Hoffm.
65102,682187,243071-1,Scorzonera aristata,Scorzonera aristata Ramond ex DC.,Asteraceae,Species,3071867,243189-1,Species,Synonym,Asteraceae,,Scorzonera,,graminifolia,,,,All.,,Fl. Pedem., 1: 228,(1785),Scorzonera graminifolia,All.,3072152,,,,,243189-1,,N,Scorzonera aristata,Scorzonera aristata Ramond ex DC.,243071-1,3072152,1785,Scorzonera graminifolia All.,Scorzonera graminifolia All.,Scorzonera graminifolia All.,S.,S. graminifolia,S. graminifolia All.,S. graminifolia All.,S. graminifolia All.
65103,1282851,77180541-1,Pseudopodospermum molle subsp. molle,Pseudopodospermum molle subsp. molle,Asteraceae,Subspecies,3075469,243197-1,Species,Illegitimate,Asteraceae,,Scorzonera,,graminifolia,,,,Griseb.,,Spic. Fl. Rumel., 2: 263,(1846),Scorzonera graminifolia,Griseb.,3075475,,,,,243197-1,,N,Pseudopodospermum molle,Pseudopodospermum molle (M.Bieb.) Kuth.,77070517-1,3075465,1846,Scorzonera graminifolia Griseb.,Scorzonera graminifolia Griseb.,Scorzonera graminifolia Griseb.,S.,S. graminifolia,S. graminifolia Griseb.,S. graminifolia Griseb.,S. graminifolia Griseb.
